dateHour,networkDomain,visitors,visits,bounces,timeOnSite,Date,Hour,Domain
2013041813,nhs.uk,1,1,0,814,4/18/2013,13,NHS
2013041912,nhs.uk,1,1,0,1482,4/19/2013,12,NHS
2013041913,nhs.uk,1,0,0,0,4/19/2013,13,NHS
2013041913,virginmedia.com,1,1,0,12,4/19/2013,13,Other
2013042409,virginmedia.com,1,1,0,4,4/24/2013,9,Other
2013042410,virginmedia.com,1,1,0,1081,4/24/2013,10,Other
2013042414,nhs.uk,1,1,0,2658,4/24/2013,14,NHS
2013042414,unknown.unknown,1,1,0,144,4/24/2013,14,Other
2013042414,vodafone.co.uk,1,1,0,151,4/24/2013,14,Other
2013042415,nhs.uk,1,1,0,13,4/24/2013,15,NHS
2013042416,virginmedia.com,1,1,1,0,4/24/2013,16,Other
2013042510,nhs.uk,1,1,1,0,4/25/2013,10,NHS
2013042511,nhs.uk,1,1,0,1865,4/25/2013,11,NHS
2013042512,nhs.uk,3,2,0,3104,4/25/2013,12,NHS
2013042513,nhs.uk,1,1,0,48,4/25/2013,13,NHS
2013042514,nhs.uk,2,1,0,2,4/25/2013,14,NHS
2013042611,virginmedia.com,1,1,0,9,4/26/2013,11,Other
2013042612,nhs.uk,1,1,0,2552,4/26/2013,12,NHS
2013042613,nhs.uk,1,0,0,0,4/26/2013,13,NHS
2013042908,nhs.uk,1,1,0,3,4/29/2013,8,NHS
2013042915,nhs.uk,1,1,0,515,4/29/2013,15,NHS
2013042916,nhs.uk,2,1,1,0,4/29/2013,16,NHS
2013043015,nhs.uk,1,1,0,203,4/30/2013,15,NHS
2013050109,virginmedia.com,1,1,0,20,5/1/2013,9,Other
2013050215,virginmedia.com,1,1,0,9,5/2/2013,15,Other
2013050218,virginmedia.com,2,2,2,0,5/2/2013,18,Other
2013050311,virginmedia.com,1,1,0,111,5/3/2013,11,Other
2013050313,virginmedia.com,1,1,0,20,5/3/2013,13,Other
2013050315,nhs.uk,1,1,0,668,5/3/2013,15,NHS
2013050315,virginmedia.com,1,1,0,180,5/3/2013,15,Other
2013050407,virginmedia.com,1,1,1,0,5/4/2013,7,Other
2013050708,nhs.uk,1,1,0,28,5/7/2013,8,NHS
2013050710,nhs.uk,1,1,0,46,5/7/2013,10,NHS
2013050711,nhs.uk,1,1,0,1792,5/7/2013,11,NHS
2013050712,nhs.uk,1,1,0,4534,5/7/2013,12,NHS
2013050713,nhs.uk,1,0,0,0,5/7/2013,13,NHS
2013050714,nhs.uk,1,1,0,1063,5/7/2013,14,NHS
2013050715,nhs.uk,3,2,1,970,5/7/2013,15,NHS
2013050721,virginmedia.com,1,1,0,9,5/7/2013,21,Other
2013051006,nhs.uk,1,1,1,0,5/10/2013,6,NHS
2013051010,nhs.uk,1,1,0,426,5/10/2013,10,NHS
2013051012,nhs.uk,1,1,0,842,5/10/2013,12,NHS
2013051014,nhs.uk,2,2,1,6,5/10/2013,14,NHS
2013051015,nhs.uk,1,1,0,2,5/10/2013,15,NHS
2013051308,nhs.uk,1,1,0,158,5/13/2013,8,NHS
2013051408,nhs.uk,1,1,0,6,5/14/2013,8,NHS
2013051613,nhs.uk,1,1,0,314,5/16/2013,13,NHS
2013051709,emcbe.com,1,1,0,13,5/17/2013,9,Other
2013051709,virginmedia.com,1,1,1,0,5/17/2013,9,Other
